"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"urate",-0.0051228,-0.003076,0.016811,-0.014149,-0.014245,-0.012596,-0.032979,0.017287,-0.0081129,0.022233,-0.0086901,0.00049165
"oleoyl ethanolamide",-0.0094197,-0.0054554,-0.032848,-0.024559,-0.0084684,-0.04086,-0.055314,-0.026249,0.031333,-0.037969,0.011471,0.0117
"gamma-glutamylglutamine",-0.043148,0.039341,0.027727,-0.01283,-0.00027962,0.013561,0.017578,-0.0058985,0.027558,-0.014771,0.0048669,0.0063307
"butyrate/isobutyrate (4:0)",0.056517,-0.040847,0.076598,-0.040541,-0.077366,-0.085653,0.0011405,-0.020193,-0.019603,-0.041396,-0.15099,0.039274
"N-acetylneuraminate",0.0093589,-0.004793,-0.015475,-0.0023141,-0.006512,-0.013488,-0.002211,-0.0061364,-0.001073,0.0076865,0.015796,-0.0019194
"isocitrate",-0.01086,-0.011568,-0.0033736,0.0001267,0.010127,0.0087538,0.0084551,-0.02293,0.0076873,0.0059762,-0.014435,0.0026358
"acetylphosphate",-0.0017909,-0.017871,-0.016467,0.021651,-0.064469,0.021983,-0.047673,-0.0053067,0.075239,0.089785,0.015143,0.00010256
"N-acetyl-glucosamine 1-phosphate",0.020987,0.013982,-0.0056929,0.016092,-0.0096978,-0.0041462,-0.00056845,-0.0028667,0.011835,-0.032789,0.014465,-0.0078882
"N-acetylglucosamine 6-phosphate",0.029761,-0.029143,0.00051908,-0.018025,0.011666,-0.030408,0.0027137,-0.0089985,0.027038,-0.010948,-0.017409,0.0041408
"adenosine 3',5'-diphosphate",0.015141,-0.0020728,0.005848,0.006149,0.0036901,0.013441,-0.0023192,0.0033155,0.01966,-0.013049,-0.0098854,0.0039359
"N-acetylglucosaminylasparagine",-0.0096458,0.0072101,-0.011153,0.014593,-0.014264,0.022477,0.0043571,0.017105,0.034164,-0.012845,-0.0022697,-0.00078081
"CDP-choline",-0.00050741,-0.00069174,0.0027457,-0.0069304,-0.00018965,-0.017902,0.013424,-0.011504,-0.012962,0.0043076,0.014166,-0.0027141
"creatine",0.0027173,-0.00029374,-0.001481,0.0017865,-0.0027013,-0.0027802,0.00030352,0.00031152,-0.0036051,-0.0033741,-0.0016507,-0.00010851
"cytidine 5'-monophospho-N-acetylneuraminic acid",-0.020507,-0.014533,-0.029193,0.013832,-0.031779,0.011215,-0.038928,0.029954,0.017446,0.0057395,0.012681,0.0061083
"dihomolinoleate (20:2n6)",0.054624,-0.041376,-0.04628,0.030347,0.016253,-0.015205,-0.00091092,-0.040466,0.022513,-0.031485,-0.023022,0.0081713
"fructose 6-phosphate",0.080111,0.17118,-0.042571,0.072376,-0.039397,-0.0047156,-0.038813,-0.035425,-0.01282,-0.00065151,-0.014964,-0.012286
"gamma-glutamylhistidine",0.0091789,-0.016382,0.019382,0.014654,0.02087,0.0096074,0.015248,0.0033084,0.069023,0.0046986,-0.03319,0.0033067
"3-hydroxybutyryl CoA",-0.020123,0.022653,-0.042733,-0.021564,-0.0065397,-0.0062545,0.060307,-0.1159,0.023271,-0.063097,0.0096183,-0.015167
"2-hydroxystearate",0.059064,-0.029453,0.026812,-0.034103,-0.09422,-0.07389,-0.021767,-0.18283,-0.068056,0.0092575,-0.058185,0.0054787
"1-methyladenosine",0.030083,0.0019861,0.020099,-0.030744,0.0060043,-0.028491,0.018105,0.039721,0.0069402,-0.01976,0.022738,-0.0059791
"5-methyltetrahydrofolate (5MeTHF)",0.016631,-0.016069,-0.012037,-0.0016015,-0.01304,-0.0061778,0.013114,-0.012913,-0.0083354,0.032156,0.0029413,0.00076568
"glycerol",0.032563,-0.019472,-0.011995,0.015661,0.0099898,-0.0077295,0.0090113,-0.021387,0.03195,0.0098815,0.012141,0.0026191
"choline",0.020763,-0.0015193,0.002604,-0.034843,0.0074737,-0.016069,0.025271,0.014763,0.009475,-0.0026814,-0.0059537,0.0086145
"12-HHTrE",0.074599,0.010788,-0.01796,-0.040586,0.074601,-0.12589,-0.069466,-0.01321,-0.0033808,0.029285,-0.092698,0.036206
"S-adenosylmethionine (SAM)",-0.0055946,0.002829,-0.011957,-0.0043097,-0.010138,-0.0035926,0.0067417,-0.0092539,0.0043853,-0.001463,-5.2865e-05,-0.0021101
"gamma-glutamylleucine",-0.0014781,-0.0016157,0.005139,0.0021146,0.017885,0.014415,0.026198,-0.013788,0.012896,-0.0053189,-0.010219,-0.0023809
"adenylosuccinate",-0.033028,-0.0033671,-0.0070428,0.0082481,-0.0051748,0.017634,0.0038032,-0.035514,0.017857,-0.0042743,0.021014,-0.0048715
"NAD+",-0.092035,-0.012514,0.0081092,-0.049329,0.0065769,-0.016309,-0.068106,0.023765,0.0057004,0.021405,0.0066919,-0.0053571
"nicotinamide ribonucleotide (NMN)",-0.092025,-0.013609,0.028274,-0.02263,0.0037951,0.019659,-0.037777,0.0097039,0.01768,-0.011971,-0.031947,-0.0059952
"3-methoxytyrosine",0.011187,0.0092454,-0.033616,-0.020289,-0.012895,-0.017531,0.017794,0.025302,-0.043275,0.057883,0.037812,0.0079791
"S-lactoylglutathione",0.03031,0.02791,-0.013169,-0.0066886,-0.019079,0.0040589,-0.030814,0.012796,0.0072296,0.01945,0.036767,0.0066801
"beta-hydroxyisovalerate",0.0018293,-0.052961,-0.053035,-0.005829,-0.038285,0.062732,0.022319,-0.038392,-0.052891,-0.035061,-0.0079152,-0.0005358
"palmitoyl ethanolamide",0.021199,-0.0032489,-0.0096592,-0.028612,-0.0097581,-0.013148,0.0041331,-0.0034196,0.0033293,-0.021499,0.01513,0.0072694
"N-palmitoyl-sphingosine (d18:1/16:0)",0.03921,0.00066,-0.0071499,-0.015706,0.010379,-0.018647,0.020374,0.0043593,0.00013831,-0.011371,-1.8733e-05,0.0056062
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",0.0056689,-0.0046834,-0.00088425,0.016602,-0.0047368,0.0056089,0.010471,0.0020738,-0.016435,-0.0037472,0.0043117,-0.00022869
"1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)",-0.016024,0.028605,0.0083998,-0.024629,0.0068126,0.0082324,0.021919,0.010784,0.0057256,-0.015191,0.00092161,0.0032841
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)",0.008379,0.0025913,-0.013901,0.021958,-0.025655,0.017848,-0.0033286,0.0132,-0.026643,0.0023881,0.0078433,-0.00048054
"stearoyl sphingomyelin (d18:1/18:0)",-0.006054,0.0068628,0.0088458,-0.020008,0.0077211,-0.0072124,0.0013671,-0.014449,0.0097105,-0.004774,-0.0081992,-0.0067313
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)",-0.0015516,-0.0079525,-0.019463,0.014763,-0.0054298,0.011343,0.0049611,-0.00033883,-0.017867,-0.012951,-0.012387,-0.0022489
"1-palmitoyl-2-linoleoyl-GPG (16:0/18:2)",-0.00065403,-0.0076419,-0.0202,0.011368,-0.033059,0.015441,-0.011195,0.017558,-0.022095,-0.013066,0.013487,-0.0008906
"N-stearoyl-sphingosine (d18:1/18:0)*",0.032209,0.0039486,-0.0051727,-0.036936,0.02026,-0.012903,0.027738,-0.0043951,-0.0010683,-0.027351,-0.0066404,0.018054
"biopterin",0.034866,0.037186,-0.0046921,-0.0087102,0.0073366,0.0001182,-0.0079811,0.03112,0.016964,-0.010336,-0.0052886,0.0010848
"taurochenodeoxycholate",-0.022331,-0.19939,0.24702,0.074094,-0.41159,-0.26998,-0.068959,0.020002,0.016973,-0.053376,0.041928,-0.0098584
"taurocholate",0.001986,-0.067327,0.13257,0.024352,-0.17195,0.041396,0.0047216,-0.092768,0.037321,-0.00845,0.025035,-0.020489
"taurodeoxycholate",-0.0063128,-0.041981,0.071568,0.0056481,-0.1614,0.062822,0.025689,-0.014086,0.060283,-0.0043055,0.10796,-0.0056869
"acetylcholine",-0.0030481,-0.003915,-0.0053779,-0.029578,0.020331,0.090982,-0.10939,-0.035019,-0.0096945,-0.044615,-0.075751,0.010561
"acetyl-CoA",-0.10526,0.031997,-0.0047918,0.0062597,-0.047629,-0.0040483,-0.020365,-0.05123,-0.0065215,0.0040334,-0.029848,-0.0088096
"eicosapentaenoate (EPA; 20:5n3)",0.052284,-0.0078789,-0.0066031,-0.020478,0.0081574,-0.035474,-0.012786,-0.00088262,0.045833,-0.015195,-0.032108,0.028698
"methylsuccinate",-0.0063598,0.014451,-0.0078571,-0.017318,0.0043792,0.0039211,0.0021218,-0.006861,0.024199,0.0054693,0.017003,-0.00069239
"tricarballylate",-0.00026688,-0.0003998,-0.00093272,0.00012891,0.00058285,-0.0016112,0.0015761,-0.0044592,-0.0013688,0.0025374,-0.0037707,-0.012601
"ethylmalonate",0.0081962,0.009082,0.0084283,0.00058362,-0.011628,-0.0053853,-0.0054785,-0.025284,0.027004,0.026648,0.0034195,0.00012931
"carnitine",-0.018106,-0.006079,0.01123,0.000598,-0.0055598,0.006121,-0.0087608,-0.036239,-0.0068923,0.0094136,0.00030457,-0.004933
"hippurate",-0.015412,-0.015716,0.023849,0.0054224,-0.037299,4.4576e-05,0.1146,0.046425,0.031664,0.02881,-0.070431,0.025765
"methionine sulfoxide",0.02701,0.0063621,-0.019043,0.010291,-0.002081,0.027444,0.0094061,-0.019402,0.006832,0.016139,0.014225,-0.0051261
"3-methylhistidine",0.026021,0.010463,0.041563,-0.013535,-0.015979,0.036121,-0.020414,0.034354,0.0199,0.04485,-0.031832,0.0045333
"anserine",0.016836,-0.011935,0.056032,0.032794,-0.020548,0.05848,-0.022958,0.0044473,-0.0028861,-0.023085,-0.02248,-0.0016025
"5-hydroxylysine",-0.027003,0.011158,-0.034085,0.015065,0.039763,-0.01457,0.061364,0.054527,-0.048675,0.02018,-0.10151,-0.013064
"2-phosphoglycerate",-0.048192,0.092849,0.039515,0.088147,0.10705,-0.087607,0.10943,-0.14481,-0.062928,-0.18486,0.020851,0.0096456
"4-guanidinobutanoate",-0.0047029,0.010055,0.028587,-0.0035249,0.0083543,0.031278,0.011232,-0.0012879,0.076176,-0.0014739,0.034293,-0.0035151
"creatine phosphate",0.0040232,-0.023141,0.0026931,-0.042529,0.012504,-0.0045107,0.011133,0.030019,0.023922,0.028505,0.068694,0.0047714
"2'-deoxycytidine",0.022623,-0.0039105,0.016358,-5.0405e-05,-0.0027497,-0.0059543,-0.001307,0.0082216,0.0070781,0.00046209,0.0028046,-0.0026505
"2'-deoxyinosine",0.022146,-0.021765,0.0020183,0.012865,-0.023801,-0.034608,0.018962,-0.0023936,0.011142,0.014508,-0.011406,7.7332e-05
"3'-dephosphocoenzyme A",-0.032698,0.034413,-0.046201,0.0045616,-0.063697,-0.010013,-0.019903,-0.012819,0.042958,0.030007,0.033308,-0.0011102
"erythrose 4-phosphate",0.10246,0.063871,-0.044005,-0.0077653,-0.040616,-0.013136,0.021642,-0.025257,0.0085225,-0.044215,0.058458,-0.0066112
"FMN",-0.0068349,0.0021812,0.0018553,-0.014873,-0.0028504,-0.010894,-0.012241,0.0011717,0.0075819,0.018981,0.0043293,0.0024948
"glucuronate",0.012701,-0.009195,0.021351,0.014622,-0.014614,0.00084991,0.0016259,0.049338,0.012223,0.0095939,-0.0093559,0.0028951
"glycerol 3-phosphate",-0.076043,0.014919,0.011784,0.022806,-0.048364,0.045492,-0.032826,0.010235,0.017054,-0.034358,-0.027192,-0.008494
"imidazole lactate",0.03409,-0.051515,0.081749,0.093406,0.0027005,0.024432,-0.056642,-0.010621,0.024204,-0.0026395,-0.030899,0.0092328
"kynurenine",0.0006262,0.014991,-0.0022928,-0.00064527,0.019573,0.038957,0.049614,-0.0060455,-0.027922,-0.05037,-0.017826,0.0085616
"glycerophosphorylcholine (GPC)",-0.030658,0.022112,-0.0063533,-0.0013645,-0.031563,-0.0064365,0.011972,-0.0035989,0.0081489,0.0082701,-0.0056681,0.0030898
"maltotetraose",0.052209,0.15823,0.043016,0.033467,-0.029737,0.078529,-0.11757,-0.030897,-0.11693,0.011715,0.083641,-0.0027519
"maltotriose",-0.022485,0.19638,-0.025845,0.058325,-0.015316,0.10165,-0.036461,-0.052175,0.011062,-0.012578,0.031522,0.029649
"N-acetylglutamate",0.0067001,-0.0068763,-0.0036562,-0.011765,0.010333,-0.0047922,0.010499,-0.015624,-0.0016794,-0.0011363,0.016003,-0.0038618
"UDP-galactose",-0.07661,-0.12258,0.041652,-0.038021,0.028581,-0.038576,0.053745,-0.0022398,-0.061006,-0.0062311,-0.0054904,0.040395
"xanthosine",0.018473,-0.027883,0.0012497,5.2202e-05,-0.015543,-0.042672,0.0049087,-0.021273,-0.014836,0.055506,0.014544,0.0019126
"galactose 1-phosphate",0.036933,0.057142,-0.012435,0.046703,-0.0068792,0.0019398,0.044696,-0.050644,-0.033733,0.010513,-0.0082208,-0.003781
"phosphopantetheine",0.0073474,0.01143,-0.014869,-0.0088588,-0.017665,0.033279,-0.026393,0.015336,0.035389,0.0031216,-3.1881e-05,-0.0041062
"6-phosphogluconate",0.052231,0.045008,0.009312,0.022842,0.0026818,0.038322,-0.0098719,0.0086574,-0.0025732,-0.0079224,-0.022971,0.006432
"propionyl CoA",-0.012593,-0.0029676,0.0027044,-0.04818,0.019611,-0.020281,0.018166,0.0049491,-0.025078,0.010417,-0.089177,0.002758
"ribitol",0.031975,-0.012777,0.010847,-0.00047715,0.0041485,-0.050144,0.019264,-0.010254,-0.0039744,0.0087288,0.050663,0.0018515
"quinate",-0.0058435,0.0017598,-0.015022,-0.003695,-0.0034153,-0.00062264,0.028889,0.00086885,0.063189,-0.012364,0.032438,-0.01003
"mesaconate (methylfumarate)",-0.012447,-0.0080067,0.0076067,0.019042,-0.028855,-0.0049497,0.052166,0.050935,0.030508,-0.0087317,0.01937,0.010281
"itaconate",-0.010909,-0.0077919,-0.016184,-0.01567,-0.0069343,0.0037893,0.035827,-0.0064225,0.0087069,-0.044376,-0.030871,0.0058981
"homoserine",-0.014975,-0.012691,0.024834,-0.0088017,-0.00011149,0.028157,-0.00093112,-0.017645,-0.0040401,0.021244,0.020777,0.0017282
"indolelactate",-0.0089404,0.016026,-0.024697,0.012116,0.014474,-0.022275,0.018832,-0.016073,0.011837,0.034439,0.031595,-0.0038983
"3-indoxyl sulfate",0.012949,0.044213,0.0096759,-0.036952,0.0073228,-0.030608,0.066781,0.023547,-0.027504,-0.026597,-0.015161,-0.011294
"2'-deoxyadenosine 5'-monophosphate",0.015263,0.013782,0.018245,0.047585,-0.033452,-0.011457,0.033321,0.026437,0.013063,-0.02778,-0.0037264,0.00075198
"glycylvaline",0.0021569,0.00091138,-0.016647,-0.0017667,-0.030026,-0.012265,0.0092522,-0.028512,0.0025519,0.0082613,0.015841,-0.0093443
"gamma-glutamylphenylalanine",-0.0034824,-0.0026834,0.0032785,-0.018245,0.026685,0.0073693,-0.0098023,0.014068,0.047471,0.0044455,0.014056,-0.0056733
"1,5-anhydroglucitol (1,5-AG)",0.0057572,0.012417,0.035575,0.0036382,0.011851,-0.0093332,0.0010216,0.00085719,0.011677,-0.0009162,0.016059,0.0053583
"2-arachidonoylglycerol (20:4)",-0.050432,-0.013351,-0.035119,0.00098756,0.0026049,-0.0050822,-0.075972,-0.0063673,0.034606,-0.026143,-0.017256,-0.0044419
"1-palmityl-GPC (O-16:0)",0.026449,0.0054419,0.022,-0.036648,-0.033902,0.049777,-0.022138,0.0041407,0.01548,0.028527,-0.038804,0.013081
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",-0.0024286,-0.00012453,0.001399,-0.0030113,0.0081413,0.0025657,0.0042973,0.019838,0.00017409,-0.00382,0.00039204,0.0016816
"sphingosine 1-phosphate",-0.029576,0.0011531,-0.015288,-0.063209,0.023387,0.037934,-4.5959e-05,-0.018285,-0.049496,0.012701,0.035965,-0.0084614
"1-oleoyl-GPS (18:1)",-0.0063378,0.017069,0.0028036,0.011192,0.0015611,0.012337,-0.049678,0.046719,-0.014308,0.074151,-0.0013722,-0.0036529
"1-stearoyl-2-oleoyl-GPS (18:0/18:1)",-0.0080882,0.023999,1.7545e-05,-0.018929,0.031053,-8.0801e-05,-0.0060779,0.023598,0.011785,0.0067924,0.028655,-0.0020905
"1-palmitoyl-2-oleoyl-GPG (16:0/18:1)",-0.002357,0.0024367,0.007501,-0.021778,0.0074727,0.0017292,-0.00016809,-0.0035205,0.012979,-0.0032117,0.014134,0.0011256
"1-stearoyl-2-linoleoyl-GPS (18:0/18:2)",0.01725,0.015589,0.015371,0.02554,-0.0007824,-0.042386,0.044356,0.0014603,-0.046499,-0.027244,0.028952,-0.00057636
"1,2-dipalmitoyl-GPG (16:0/16:0)",-0.0025475,-0.0082337,0.031118,-0.017672,-0.015875,0.068564,-0.021454,0.022473,0.036033,-0.039537,0.014539,-0.0029028
"1-stearoyl-GPI (18:0)",0.042146,-0.021066,-0.017724,-0.008779,0.021635,-0.0284,-0.0096245,-0.04483,0.016043,-0.0071792,0.035716,0.011951
"1,2-dipalmitoyl-GPC (16:0/16:0)",-0.0030404,0.0080039,0.0092623,-0.021726,0.0031525,-0.0035215,0.0020499,-0.0036107,0.0041284,-0.0060763,0.009217,-0.00053976
"1,2-distearoyl-GPC (18:0/18:0)",0.0095486,-0.025933,0.033076,-0.019336,0.03358,-0.051392,0.021988,-0.0060164,-0.022264,-0.067999,0.021519,0.0036041
"docosahexaenoate (DHA; 22:6n3)",0.070524,-0.037041,-0.0097847,-0.025544,0.017975,-0.031138,-0.0033082,-0.063326,0.056706,-0.0021934,-0.034064,0.012569
"1-myristoyl-2-palmitoyl-GPC (14:0/16:0)",-0.0070129,0.01179,-0.0014137,-0.012262,-0.014046,0.002155,0.008786,-0.0023168,0.009544,-0.0078753,0.012899,-0.0038665
"maleate",-0.009854,0.0066776,-0.029077,-0.02909,-0.0029678,-0.003352,0.020009,-0.015091,0.01713,0.0097222,0.023069,-0.0071184
"1-methylguanidine",0.016642,-0.0092757,-0.0028146,0.0071606,-0.010601,0.013192,-0.0039354,0.013164,-0.0047125,-0.0044157,0.009914,-0.0027901
"2-hydroxyoctanoate",0.036116,-0.0041592,0.016682,0.034177,-0.0020303,0.025913,0.10706,0.0024173,-0.050493,0.022759,-0.00703,-0.0077674
"5-methylcytidine",0.062856,0.018948,0.007918,-0.0093108,-0.010619,-0.019836,0.015831,-0.059515,0.028713,-0.05293,0.019947,-0.0047372
"3-hydroxyoctanoate",0.0021909,-0.026443,0.0084263,0.010147,0.038821,-0.0021678,0.0043041,0.0057389,0.020404,-0.012764,0.02857,-0.0063461
"phenyllactate (PLA)",-0.0043187,0.011287,0.019825,0.019176,0.033358,0.048348,-0.038239,-0.016683,0.01248,-0.013847,0.019797,-0.006867
"palmitoylcarnitine (C16)",-0.040489,-0.040988,0.019682,-0.0016693,0.093134,0.022656,-0.033626,0.021987,-0.013968,-0.013663,0.011201,-0.01555
"hexanoylcarnitine (C6)",-0.10956,-0.010267,0.029912,0.0060269,-0.0059289,0.015897,-0.050533,-0.038304,-0.017804,0.013278,0.013685,0.0011815
"N-acetylaspartate (NAA)",-0.00031465,0.012857,-0.0017121,-0.036027,0.00055591,0.021822,-0.04655,-0.0026433,0.0081719,-0.0064904,-0.0080122,-0.010626
"acetylcarnitine (C2)",0.049244,-0.028305,0.027054,-0.012986,0.020641,-0.0043954,0.0022733,-0.028122,-0.029911,-0.001366,-0.0086355,-0.0058124
"1-palmitoylglycerol (16:0)",-0.020373,-0.025989,-0.026456,0.0081087,0.018833,-0.023918,-0.077154,-0.015146,0.0060501,-0.052057,0.066861,0.0064657
"tartronate (hydroxymalonate)",0.0060499,-0.0034763,-0.00044713,0.0034441,0.0095532,-0.0096103,-0.01349,0.019447,0.0091058,-0.0028496,-0.0097953,0.00023759
"oxalate (ethanedioate)",0.0029395,7.8599e-05,0.0052796,-0.0036642,0.0058652,-0.0020463,-0.016017,0.00060733,-0.018743,-0.0098681,-0.0078345,0.0023063
"bicine",0.022319,0.027921,0.054669,0.062148,-0.004074,-0.00037495,0.010457,-0.086908,0.072418,0.044375,-0.014645,0.0059883
"trizma acetate",-0.015796,-0.047428,-0.086409,-0.041156,-0.0081702,-0.16878,0.097144,0.18252,0.1681,0.15161,-0.04513,0.023858
"3-hydroxymyristate",-0.0076507,-0.022412,-0.060346,0.042766,0.053261,0.019675,0.0059674,-0.00069334,0.052511,0.014041,0.0391,0.00038162
"1-oleoylglycerol (18:1)",-0.010295,-0.022597,-0.017523,0.022994,0.042821,-0.032354,-0.01798,-0.032315,-0.024245,-0.061688,0.042776,0.0015175
"2-oleoylglycerol (18:1)",-0.043762,-0.014303,-0.036182,0.017,0.0086984,-0.027215,-0.060742,-0.02535,0.0093657,-0.034861,0.056597,-0.0027062
"homoarginine",0.018899,0.037094,-0.090369,0.014789,-0.037296,-0.029245,0.010214,0.00022124,-0.17731,0.0063045,0.073447,0.0097815
"homocitrulline",0.009591,-0.0036583,0.017193,0.028394,0.044739,-0.012078,0.035921,0.055681,-0.10374,-0.016014,-0.032809,0.0063967
"alpha-glutamylglutamate",0.022292,0.0019154,-0.0093612,-0.0094647,-0.001409,-0.014827,0.009807,0.012695,-0.00035469,-0.016376,-0.028041,0.0026597
"glycylproline",0.033138,-0.0092715,-0.0090574,0.0067198,-0.01733,-0.015031,0.010211,0.0015831,-0.016036,0.0028108,-0.0058693,0.0061987
"3-hydroxypalmitate",0.0017528,-0.041066,-0.069968,0.06312,0.055109,0.0090549,0.0066212,-0.0027986,0.04196,-0.030263,0.0052175,0.012332
"2-linoleoylglycerol (18:2)",-0.049431,-0.013033,-0.035148,0.021565,0.0073342,-0.02644,-0.053952,-0.021325,0.0097863,-0.041423,0.028733,-0.0042043
"3-hydroxydecanoate",0.0025279,-0.016758,-0.023363,0.022446,0.066057,0.017795,0.012476,-0.0058699,0.04235,0.016003,0.047326,-0.018668
"N-acetylglycine",0.0012715,0.0027746,0.028452,-0.024833,0.012083,0.013154,0.022521,0.02025,-0.0015324,-0.011536,-0.010685,-0.0011114
"ribonate",0.021389,-0.00026454,0.0015059,-0.00089562,0.0028826,-0.0056081,0.0022398,0.024416,0.0064117,0.0067152,-0.0065198,0.00026638
"threonate",-0.01517,0.0058113,-0.005289,0.01274,-0.0085651,-0.0042437,-0.026902,-0.0061753,0.0016404,-0.00058717,-0.0093382,0.0055122
"galactonate",0.014287,-0.0008043,0.0079764,0.0072193,0.012963,-0.0087283,0.0027783,0.0044106,-0.0041874,0.002374,0.014102,-0.0041889
"1-linoleoylglycerol (18:2)",-0.036027,-0.023468,-0.022932,0.008126,0.021032,-0.026337,-0.043148,0.0072835,0.014395,-0.046982,0.033259,-0.0086063
"2-palmitoylglycerol (16:0)",-0.040807,-0.024887,-0.027811,0.029363,0.0024693,0.0081736,-0.040617,0.0054815,0.011986,-0.065222,0.038382,-0.0053924
"1-methylhistidine",0.055476,-0.026371,0.091803,0.018571,0.016143,0.032559,-0.040574,0.067998,-0.02374,-0.01855,-0.024044,0.017184
"butyrylcarnitine (C4)",-0.11875,-0.0077795,0.046442,0.014284,0.0036911,0.035184,-0.052432,-0.039213,-0.036736,-0.0079559,-0.013369,-0.0038049
"beta-muricholate",-0.0043221,-0.052258,0.063557,0.099907,-0.06147,0.045295,0.087469,0.055105,-0.098693,-0.087263,-0.027495,0.028865
"indolepropionate",0.0065907,-0.0023678,-0.00037545,-0.00032291,0.0023992,0.0017162,0.0052004,0.0027909,-0.0036992,-0.0032851,0.00077517,-0.0004744
"trigonelline (N'-methylnicotinate)",0.014479,0.0010621,0.016158,0.0082827,0.019137,0.032889,0.082086,0.011362,0.030334,0.0042854,0.063166,-0.051611
"dodecanedioate (C12)",0.016489,-0.029849,-0.031355,-0.025531,-0.054721,0.073336,-0.0074942,-0.045066,-0.032807,0.028707,0.025194,-0.010226
"glutamate, gamma-methyl ester",0.004292,0.014559,-0.0026284,0.0076399,0.0055047,-0.013912,-0.013784,0.0043798,-0.0031723,-0.0027193,-0.0067258,0.0028844
"N-acetyltyrosine",-0.031903,-0.05719,-0.11281,0.12622,-0.037094,0.021203,0.026557,0.027756,-0.092293,0.12984,-0.064594,-0.013836
"3-hydroxylaurate",-0.0035033,-0.016686,-0.043929,0.04288,0.061272,0.033508,0.024269,-0.0089928,0.058735,0.031036,0.05454,-0.010907
"pyridoxate",0.039302,-0.0048643,0.056714,-0.011319,-0.023326,-0.05053,0.031629,-0.044055,0.054118,-0.063919,0.040573,-0.0036948
"histidine methyl ester",-0.036511,0.023757,-0.0087685,-0.025891,0.0044148,0.0071058,-0.0025929,-0.0085672,0.0030253,0.0075386,0.010851,-0.002738
"gamma-glutamylvaline",0.0077284,-0.0085489,0.031583,0.01067,0.024077,-0.020963,0.02718,-0.02632,-0.032161,0.0020312,0.0094879,-0.0015584
"3-hydroxyglutarate",0.0067866,-0.0097952,-0.01009,0.0050276,-0.009939,0.016722,-0.037675,0.024979,0.0067071,-0.0057268,-0.0032106,0.0073703
"butyrylglycine (C4)",-0.00015372,-0.041989,0.028743,-0.033297,-0.034134,-0.020962,-0.056433,-0.013912,-0.014503,0.029316,-0.007669,-0.0049392
"2-hydroxyadipate",0.0070119,-0.017168,-0.011642,-0.049419,0.042656,-0.016959,-0.034472,0.02538,-0.046026,0.013692,0.0030345,0.0074493
"propionylcarnitine (C3)",-0.041425,-0.011447,0.018138,-0.062294,-0.0075107,0.0011422,-0.029602,-0.077312,-0.019274,0.035142,0.020648,0.011463
"3-hydroxy-2-ethylpropionate",0.079995,0.0013024,0.12087,0.064456,0.010983,0.08336,-0.10088,-0.016216,0.011122,-0.0060043,-0.0066914,-0.012117
"docosapentaenoate (DPA; 22:5n3)",0.084918,-0.032486,-0.00086428,-0.010452,0.013982,-0.028467,-0.0085513,-0.026402,0.046833,-0.019842,-0.037313,-0.00089052
"docosadienoate (22:2n6)",0.043847,-0.038411,-0.042503,0.026645,0.01032,-0.018194,-0.026371,-0.020041,0.017829,-0.0062926,-0.01175,0.0061497
"adrenate (22:4n6)",0.055808,-0.034907,-4.1613e-05,0.0057313,0.025265,-0.011905,-0.0022153,-0.056544,0.018725,-0.024645,-0.027243,-0.023876
"docosatrienoate (22:3n3)",0.059212,-0.031619,-0.019934,0.029486,0.017697,-0.0079134,-0.032115,-0.057521,-0.0042188,-0.042995,-0.052691,0.0074379
"10-undecenoate (11:1n1)",0.018086,0.0032317,-0.022948,0.019274,0.017992,-0.0026584,0.0079769,0.0053924,0.029253,0.026977,-0.0060596,0.002941
"myristoleate (14:1n5)",0.019197,-0.043561,-0.03756,0.0302,0.041503,0.0013615,0.0066042,0.0092618,0.042371,-0.011372,0.011461,-0.0020964
"1-methylhistamine",0.035504,-0.0020665,-0.003831,-0.0065882,0.0017057,0.015876,-0.022121,0.042942,0.025677,0.01817,0.037111,-0.0063678
"4-imidazoleacetate",0.016594,-0.032133,0.064752,0.051429,-0.019784,0.020535,-0.011156,-0.0055816,0.041698,-0.015124,-0.041302,0.012246
"1-methyl-4-imidazoleacetate",-0.0015068,0.012942,0.0078336,-0.032481,0.01714,0.0090021,0.022248,0.0064224,-0.039145,-0.02784,0.048925,-0.0037545
"sebacate (C10-DC)",0.012622,0.0061017,0.013446,0.03237,-0.035096,0.030721,0.013022,0.010461,-0.0013669,0.0024619,-0.023298,-0.0039397
"stearidonate (18:4n3)",0.021772,-0.0033332,-0.040021,0.024355,0.039205,0.014467,-0.040125,0.016955,0.05079,-0.032852,0.050777,-0.025468
"5-dodecenoate (12:1n7)",-0.0031813,-0.03542,-0.017353,-0.017197,0.015995,-0.015159,0.0099732,0.049456,0.032778,0.01321,0.023096,0.0086804
"octanoylcarnitine (C8)",-0.091837,-0.019709,0.01973,-0.002823,0.012448,0.028491,-0.056906,-0.020888,-0.010222,0.0084289,-0.011876,0.0099589
